county_fips,year,outcome_year,y,lag_1,lag_3_mean_obs,lag_5_mean_obs,years_since_last_obs,sample_weight
51141,2014,2015,,1.4299999,1.2866666333333334,1.41399996,1,1818.1819453274086
51141,2016,2017,0,1.84,1.5133333,1.3159999800000002,2,1630.4347826086957
51141,2017,2018,1,2.3299999,1.8666666,1.6059999600000001,1,1630.9013575494146
51141,2018,2019,,3.74,2.6366666333333333,2.12199996,1,1631.0160427807486
51145,2009,2010,1,7.1799998,5.480000033333333,4.818000039999999,4,835.654619377566
51145,2010,2011,1,8.4300003,6.5600001,5.912000099999999,1,1091.3404119333186
51145,2011,2012,1,6.4200001,7.3433334,6.258000099999999,1,1230.5295758484488
51145,2012,2013,1,6.4200001,7.090000166666666,6.504000100000001,1,1230.5295758484488
51145,2013,2014,1,7.1500001,6.6633334333333325,7.12000008,1,1230.7692135556754
51145,2014,2015,1,6.5,6.690000066666666,6.98400012,1,1230.7692307692307
51145,2015,2016,1,5.6100001,6.420000066666666,6.420000079999999,1,1229.946502139991
51145,2016,2017,,6.52,6.2100000333333325,6.44000006,1,1012.2699386503068
51147,2014,2015,1,7.5500002,6.760000066666667,5.850000039999999,1,2609.271454059034
51147,2015,2016,1,7.75,7.540000133333334,6.6480000399999994,1,2606.451612903226
51147,2016,2017,,8.2799997,7.859999966666666,7.261999980000001,1,2560.386566197581
51149,2014,2015,1,25.860001,24.60000066666667,22.302000200000002,1,3267.5946145555063
51149,2015,2016,1,28.469999,26.743333333333336,24.1200002,1,3266.596532019548
51149,2016,2017,,26.52,26.95,25.758000200000005,1,3733.031674208145
51157,2005,2006,0,0.66000003,0.9433333533333333,0.76800001,1,909.0908677685969
51157,2006,2007,0,2.29,1.4666666766666667,1.140000008,1,917.0305676855895
51157,2007,2008,0,1.64,1.53000001,1.352000012,1,914.6341463414635
51157,2008,2009,0,1.3099999,1.7466666333333334,1.469999986,1,916.0306042771454
51157,2009,2010,0,0.87,1.2733333,1.353999986,1,919.5402298850576
51157,2010,2011,0,1.98,1.3866666333333335,1.61799998,1,757.5757575757576
51157,2011,2012,0,2.6900001,1.8466667,1.698,1,780.669115960256
51157,2012,2013,0,1.28,1.9833333666666666,1.6260000000000001,1,781.25
51157,2013,2014,0,2.4300001,2.1333333999999997,1.8500000399999998,1,781.8929719385608
51157,2014,2015,0,2.6900001,2.1333333999999997,2.21400006,1,780.669115960256
51157,2015,2016,0,2.05,2.390000066666666,2.2280000600000003,1,780.4878048780489
51157,2016,2017,0,0.67000002,1.8033333733333332,1.824000044,1,746.2686344397422
51157,2017,2018,0,1.0700001,1.2633333733333332,1.782000064,1,747.6634815267776
51157,2018,2019,,1.6,1.1133333733333333,1.6160000439999997,1,750.0
51159,2004,2005,1,3.1600001,1.806666693333333,1.5060000160000002,1,664.5569409950334
51159,2005,2006,0,4.5100002,2.85666676,2.258000056,1,509.97780443557406
51159,2006,2007,0,1.1799999,2.9500000666666666,2.2220000360000003,1,508.47461936225585
51159,2007,2008,1,2.55,2.7466667,2.4600000360000003,1,509.80392156862746
